model,asset,criterion,target,weighting,threshold_dbm,lat,lon,gain,base
sionna-hybrid,macro,uplink_p10_mbps,2.0,route 0.7 / area 0.3,-77.0999999999857,41.99784405318002,-93.8002232770352,0.1340992367511873,0.05107542766096759
sionna-hybrid,macro,uplink_p10_mbps,2.0,route only,-77.0999999999857,41.99784405318002,-93.8002232770352,0.15216459494213458,0.053579082726103726
sionna-hybrid,macro,uplink_p10_mbps,2.0,area only,-77.0999999999857,41.987064319080126,-93.77121215099265,0.09955611921369689,0.04523356584231664
sionna-hybrid,macro,uplink_p10_mbps,5.0,route 0.7 / area 0.3,-77.0999999999857,41.99784405318002,-93.8002232770352,0.1340992367511873,0.05107542766096759
sionna-hybrid,macro,uplink_p10_mbps,5.0,route only,-77.0999999999857,41.99784405318002,-93.8002232770352,0.15216459494213458,0.053579082726103726
sionna-hybrid,macro,uplink_p10_mbps,5.0,area only,-77.0999999999857,41.987064319080126,-93.77121215099265,0.09955611921369689,0.04523356584231664
sionna-hybrid,macro,rsrp,-110.0,route 0.7 / area 0.3,-109.99999999999318,41.942885,-93.8102309,0.05325465917180128,0.9433845291604752
sionna-hybrid,macro,rsrp,-110.0,route only,-109.99999999999318,41.979599,-93.800014,0.04500642948992739,0.9549935705100728
sionna-hybrid,macro,rsrp,-110.0,area only,-109.99999999999318,41.9501816,-93.8455292,0.07440287465652085,0.916296766011414
sionna-hybrid,macro,rsrp,-100.0,route 0.7 / area 0.3,-99.9999999999909,41.9651411,-93.8003173,0.24190620854161338,0.7432060228189133
sionna-hybrid,macro,rsrp,-100.0,route only,-99.9999999999909,41.9603278,-93.7954254,0.2348906986712388,0.7606086583797684
sionna-hybrid,macro,rsrp,-100.0,area only,-99.9999999999909,41.987064319080126,-93.8219816215671,0.2627351511308389,0.7025998731769183
sionna-hybrid,macro,rsrp,-95.0,route 0.7 / area 0.3,-94.99999999998977,41.9940859,-93.8022643,0.3323677592133598,0.6293085940440988
sionna-hybrid,macro,rsrp,-95.0,route only,-94.99999999998977,41.9940859,-93.8022643,0.32597513930561517,0.6474496356622375
sionna-hybrid,macro,rsrp,-95.0,area only,-94.99999999998977,41.9940859,-93.8022643,0.3472838723314309,0.5869794969351089
